2025-06-23 14:04:44.579 INFO: Epoch 182: loss=3.9778, MAE_E=18.57 meV, MAE_F=39.97 meV / A, lr_cur=0.01000
2025-06-23 14:04:56.742 INFO: Epoch 184: loss=3.9617, MAE_E=18.79 meV, MAE_F=39.89 meV / A, lr_cur=0.01000
2025-06-23 14:05:09.141 INFO: Epoch 186: loss=3.9656, MAE_E=18.90 meV, MAE_F=39.87 meV / A, lr_cur=0.01000
2025-06-23 14:05:21.350 INFO: Epoch 188: loss=3.9519, MAE_E=18.84 meV, MAE_F=39.75 meV / A, lr_cur=0.01000
2025-06-23 14:05:33.584 INFO: Epoch 190: loss=3.9391, MAE_E=18.18 meV, MAE_F=39.69 meV / A, lr_cur=0.01000
2025-06-23 14:05:45.879 INFO: Epoch 192: loss=3.9326, MAE_E=18.45 meV, MAE_F=39.65 meV / A, lr_cur=0.01000
2025-06-23 14:05:58.081 INFO: Epoch 194: loss=3.9183, MAE_E=19.49 meV, MAE_F=39.58 meV / A, lr_cur=0.01000
2025-06-23 14:06:10.181 INFO: Epoch 196: loss=3.9068, MAE_E=18.28 meV, MAE_F=39.51 meV / A, lr_cur=0.01000
2025-06-23 14:06:22.344 INFO: Epoch 198: loss=3.8889, MAE_E=18.10 meV, MAE_F=39.41 meV / A, lr_cur=0.01000
2025-06-23 14:06:34.650 INFO: Epoch 200: loss=3.8786, MAE_E=18.25 meV, MAE_F=39.35 meV / A, lr_cur=0.01000
2025-06-23 14:06:46.930 INFO: Epoch 202: loss=3.8662, MAE_E=19.46 meV, MAE_F=39.28 meV / A, lr_cur=0.01000
2025-06-23 14:06:59.025 INFO: Epoch 204: loss=3.8492, MAE_E=19.03 meV, MAE_F=39.20 meV / A, lr_cur=0.01000
2025-06-23 14:07:11.251 INFO: Epoch 206: loss=3.8358, MAE_E=17.74 meV, MAE_F=39.11 meV / A, lr_cur=0.01000
2025-06-23 14:07:23.417 INFO: Epoch 208: loss=3.8338, MAE_E=20.22 meV, MAE_F=39.09 meV / A, lr_cur=0.01000
2025-06-23 14:07:35.514 INFO: Epoch 210: loss=3.8206, MAE_E=18.26 meV, MAE_F=39.03 meV / A, lr_cur=0.01000
2025-06-23 14:07:47.655 INFO: Epoch 212: loss=3.8074, MAE_E=21.44 meV, MAE_F=38.96 meV / A, lr_cur=0.01000
2025-06-23 14:07:59.885 INFO: Epoch 214: loss=3.7929, MAE_E=19.78 meV, MAE_F=38.87 meV / A, lr_cur=0.01000
2025-06-23 14:08:12.117 INFO: Epoch 216: loss=3.7921, MAE_E=17.40 meV, MAE_F=38.85 meV / A, lr_cur=0.01000
2025-06-23 14:08:24.453 INFO: Epoch 218: loss=3.7858, MAE_E=17.84 meV, MAE_F=38.81 meV / A, lr_cur=0.01000
2025-06-23 14:08:36.750 INFO: Epoch 220: loss=3.7729, MAE_E=16.79 meV, MAE_F=38.74 meV / A, lr_cur=0.01000
2025-06-23 14:08:49.066 INFO: Epoch 222: loss=3.7688, MAE_E=18.08 meV, MAE_F=38.71 meV / A, lr_cur=0.01000
2025-06-23 14:09:01.323 INFO: Epoch 224: loss=3.7652, MAE_E=17.89 meV, MAE_F=38.70 meV / A, lr_cur=0.01000
2025-06-23 14:09:13.518 INFO: Epoch 226: loss=3.7678, MAE_E=17.87 meV, MAE_F=38.70 meV / A, lr_cur=0.01000
2025-06-23 14:09:25.770 INFO: Epoch 228: loss=3.7887, MAE_E=17.61 meV, MAE_F=38.75 meV / A, lr_cur=0.01000
2025-06-23 14:09:38.128 INFO: Epoch 230: loss=3.7791, MAE_E=20.88 meV, MAE_F=38.70 meV / A, lr_cur=0.01000
2025-06-23 14:09:50.364 INFO: Epoch 232: loss=3.7719, MAE_E=18.80 meV, MAE_F=38.65 meV / A, lr_cur=0.01000
2025-06-23 14:10:02.555 INFO: Epoch 234: loss=3.7697, MAE_E=16.98 meV, MAE_F=38.62 meV / A, lr_cur=0.01000
2025-06-23 14:10:14.794 INFO: Epoch 236: loss=3.7666, MAE_E=16.79 meV, MAE_F=38.59 meV / A, lr_cur=0.01000
2025-06-23 14:10:26.864 INFO: Epoch 238: loss=3.7603, MAE_E=19.22 meV, MAE_F=38.56 meV / A, lr_cur=0.01000
2025-06-23 14:10:39.300 INFO: Epoch 240: loss=3.7472, MAE_E=16.67 meV, MAE_F=38.49 meV / A, lr_cur=0.01000
2025-06-23 14:10:51.587 INFO: Epoch 242: loss=3.7541, MAE_E=17.67 meV, MAE_F=38.52 meV / A, lr_cur=0.01000
2025-06-23 14:11:03.738 INFO: Epoch 244: loss=3.7554, MAE_E=16.89 meV, MAE_F=38.52 meV / A, lr_cur=0.01000
2025-06-23 14:11:16.069 INFO: Epoch 246: loss=3.7504, MAE_E=17.24 meV, MAE_F=38.49 meV / A, lr_cur=0.01000
2025-06-23 14:11:28.252 INFO: Epoch 248: loss=3.7434, MAE_E=17.15 meV, MAE_F=38.45 meV / A, lr_cur=0.01000
2025-06-23 14:11:40.513 INFO: Epoch 250: loss=3.7401, MAE_E=16.74 meV, MAE_F=38.43 meV / A, lr_cur=0.01000
2025-06-23 14:11:52.846 INFO: Epoch 252: loss=3.7327, MAE_E=21.64 meV, MAE_F=38.40 meV / A, lr_cur=0.01000
2025-06-23 14:12:05.058 INFO: Epoch 254: loss=3.7367, MAE_E=18.16 meV, MAE_F=38.36 meV / A, lr_cur=0.01000
2025-06-23 14:12:17.179 INFO: Epoch 256: loss=3.7350, MAE_E=16.75 meV, MAE_F=38.33 meV / A, lr_cur=0.01000
2025-06-23 14:12:29.431 INFO: Epoch 258: loss=3.7370, MAE_E=18.31 meV, MAE_F=38.32 meV / A, lr_cur=0.01000
2025-06-23 14:12:41.683 INFO: Epoch 260: loss=3.7373, MAE_E=16.70 meV, MAE_F=38.32 meV / A, lr_cur=0.01000
2025-06-23 14:12:54.012 INFO: Epoch 262: loss=3.7382, MAE_E=16.79 meV, MAE_F=38.32 meV / A, lr_cur=0.01000
2025-06-23 14:13:06.252 INFO: Epoch 264: loss=3.7344, MAE_E=16.41 meV, MAE_F=38.31 meV / A, lr_cur=0.01000
2025-06-23 14:13:18.394 INFO: Epoch 266: loss=3.7268, MAE_E=16.53 meV, MAE_F=38.27 meV / A, lr_cur=0.01000
2025-06-23 14:13:30.545 INFO: Epoch 268: loss=3.7217, MAE_E=16.43 meV, MAE_F=38.26 meV / A, lr_cur=0.01000
2025-06-23 14:13:42.844 INFO: Epoch 270: loss=3.7099, MAE_E=16.76 meV, MAE_F=38.21 meV / A, lr_cur=0.01000
2025-06-23 14:13:55.085 INFO: Epoch 272: loss=3.7056, MAE_E=16.64 meV, MAE_F=38.18 meV / A, lr_cur=0.01000
2025-06-23 14:14:07.197 INFO: Epoch 274: loss=3.7056, MAE_E=17.11 meV, MAE_F=38.15 meV / A, lr_cur=0.01000
2025-06-23 14:14:19.373 INFO: Epoch 276: loss=3.7005, MAE_E=16.15 meV, MAE_F=38.14 meV / A, lr_cur=0.01000
2025-06-23 14:14:31.460 INFO: Epoch 278: loss=3.7022, MAE_E=16.94 meV, MAE_F=38.14 meV / A, lr_cur=0.01000
2025-06-23 14:14:43.618 INFO: Epoch 280: loss=3.6987, MAE_E=19.65 meV, MAE_F=38.11 meV / A, lr_cur=0.01000
2025-06-23 14:14:55.944 INFO: Epoch 282: loss=3.6966, MAE_E=16.75 meV, MAE_F=38.09 meV / A, lr_cur=0.01000
2025-06-23 14:15:08.121 INFO: Epoch 284: loss=3.6927, MAE_E=17.68 meV, MAE_F=38.07 meV / A, lr_cur=0.01000
2025-06-23 14:15:20.320 INFO: Epoch 286: loss=3.6878, MAE_E=16.06 meV, MAE_F=38.05 meV / A, lr_cur=0.01000
2025-06-23 14:15:32.651 INFO: Epoch 288: loss=3.6807, MAE_E=16.79 meV, MAE_F=38.01 meV / A, lr_cur=0.01000
2025-06-23 14:15:44.994 INFO: Epoch 290: loss=3.6752, MAE_E=16.40 meV, MAE_F=37.98 meV / A, lr_cur=0.01000
2025-06-23 14:15:57.264 INFO: Epoch 292: loss=3.6681, MAE_E=16.98 meV, MAE_F=37.95 meV / A, lr_cur=0.01000
2025-06-23 14:16:09.570 INFO: Epoch 294: loss=3.6635, MAE_E=16.48 meV, MAE_F=37.92 meV / A, lr_cur=0.01000
2025-06-23 14:16:21.986 INFO: Epoch 296: loss=3.6640, MAE_E=17.63 meV, MAE_F=37.92 meV / A, lr_cur=0.01000
2025-06-23 14:16:34.206 INFO: Epoch 298: loss=3.6581, MAE_E=16.44 meV, MAE_F=37.89 meV / A, lr_cur=0.01000
2025-06-23 14:16:46.365 INFO: Epoch 300: loss=3.6529, MAE_E=16.52 meV, MAE_F=37.85 meV / A, lr_cur=0.01000
2025-06-23 14:16:58.508 INFO: Epoch 302: loss=3.6472, MAE_E=17.24 meV, MAE_F=37.82 meV / A, lr_cur=0.01000
